symbol,reportingDate,returnOnAssets,returnOnEquity,freeCashFlowToAssets,freeCashFlowToEquity,operatingProfitMargin,netProfitMargin,payoutRatio
762,2000-06-30,,,,,,,
762,2000-07-31,,,,,,,
762,2000-08-31,,,,,,,
762,2000-09-29,,,,,,,
762,2000-10-31,,,,,,,
762,2000-11-30,,,,,,,
762,2000-12-29,,,,,,,
762,2001-01-31,,,,,,,
762,2001-02-28,,,,,,,
762,2001-03-30,,,,,,,
762,2001-04-27,,,,,,,
762,2001-05-31,,,,,,,
762,2001-06-29,,,,,,,
762,2001-07-31,,,,,,,
762,2001-08-31,,,,,,,
762,2001-09-28,,,,,,,
762,2001-10-31,,,,,,,
762,2001-11-30,,,,,,,
762,2001-12-31,,,,,,,
762,2002-01-31,,,,,,,
762,2002-02-28,,,,,,,
762,2002-03-28,,,,,,,
762,2002-04-30,,,,,,,
762,2002-05-31,,,,,,,
762,2002-06-28,,,,,,,
762,2002-07-31,,,,,,,
762,2002-08-30,,,,,,,
762,2002-09-30,,,,,,,
762,2002-10-31,,,,,,,
762,2002-11-29,,,,,,,
762,2002-12-31,,,,,,,
762,2003-01-30,,,,,,,
762,2003-02-28,,,,,,,
762,2003-03-31,,,,,,,
762,2003-04-30,,,,,,,
762,2003-05-30,,,,,,,
762,2003-06-30,,,,,,,
762,2003-07-31,,,,,,,
762,2003-08-29,,,,,,,
762,2003-09-30,,,,,,,
762,2003-10-31,,,,,,,
762,2003-11-28,,,,,,,
762,2003-12-31,,,,,,,
762,2004-01-30,,,,,,,
762,2004-02-27,,,,,,,
762,2004-03-31,,,,,,,
762,2004-04-30,,,,,,,
762,2004-05-31,,,,,,,
762,2004-06-30,,,,,,,
762,2004-07-30,,,,,,,
762,2004-08-31,,,,,,,
762,2004-09-30,,,,,,,
762,2004-10-29,,,,,,,
762,2004-11-30,,,,,,,
762,2004-12-31,,,,,,,
762,2005-01-31,,,,,,,
762,2005-02-28,,,,,,,
762,2005-03-31,,,,,,,
762,2005-04-29,,,,,,,
762,2005-05-31,,,,,,,
762,2005-06-30,,,,,,,
762,2005-07-29,,,,,,,
762,2005-08-31,,,,,,,
762,2005-09-30,,,,,,,
762,2005-10-31,,,,,,,
762,2005-11-30,,,,,,,
762,2005-12-30,,,,,,,
762,2006-01-27,,,,,,,
762,2006-02-28,,,,,,,
762,2006-03-31,,,,,,,
762,2006-04-28,,,,,,,
762,2006-05-30,,,,,,,
762,2006-06-30,,,,,,,
762,2006-07-31,,,,,,,
762,2006-08-31,,,,,,,
762,2006-09-29,,,,,,,
762,2006-10-31,,,,,,,
762,2006-11-30,,,,,,,
762,2006-12-29,,,,,,,
762,2007-01-31,,,,,,,
762,2007-02-28,,,,,,,
